chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr15	77306847	77307039	0.064	1.0	1.0	1.0	0.02661	0.02564	0.04083	0.96075	0.90981	0.04301	0.01449	0.00926	0.01981	0.05439	0.02807	0.04453	0.03319	0.86585	0.02746	0.0	0.061	0.02521	0.01515	0.0	0.00676	0.02089	0.02903	0.0101	0.01835	0.0229	0.02524
chr11	116680030	116680133	0.00571	0.0	0.00901	0.0	0.0	0.0101	0.01119	0.00668	0.00416	0.00182	0.0	0.0	0.00746	0.0	0.91509	0.10842	0.00641	0.14167	0.0	0.0	0.06196	0.00855	0.00833	0.0	0.0	0.0061	0.00962	0.0	0.00758	0.0	0.0
chr6	170577808	170578184	0.00627	0.06466	0.0	0.01593	0.00782	0.0	0.0218	0.01562	0.0262	0.00609	0.00317	0.00469	0.01156	0.0	0.00581	0.02106	0.0	0.23725	0.0	0.0	0.9761	0.0	0.00901	0.02432	0.03413	0.00258	0.005	0.00383	0.0	0.00629	0.01402
chr22	44069763	44069842	0.0	0.0	0.0	0.0	0.0	0.0	0.00769	0.00963	0.01078	0.98296	0.0	0.0	0.02055	0.0	0.0	0.0	0.0	0.21996	0.0	0.0	0.0	0.00855	0.0	0.0	0.0061	0.01301	0.97229	0.0	0.0	0.00794	0.0
chr2	71773925	71774038	0.01303	0.0	0.01587	0.0	0.0	0.00606	0.01606	0.00258	0.01329	0.07449	0.00595	0.0	0.00582	0.0	0.00303	0.00654	0.01258	0.17963	0.02826	0.89545	0.01901	0.04446	0.01709	0.0	0.0	0.0	0.01125	0.0	0.01857	0.0372	0.0
chr11	61629137	61629217	0.02857	0.06263	0.0	0.0	0.0	0.01667	0.03904	0.01935	0.13185	0.03547	0.0	0.0	0.02718	0.85808	0.0	0.0	0.00952	0.10674	0.00833	0.0	0.15228	0.0	0.0303	0.10714	0.0	0.0	0.02273	0.0	0.01852	0.03241	0.02
chr15	45960741	45960902	0.0381	0.00345	0.06956	0.03805	0.0	0.01212	0.03625	0.03943	0.03808	0.02226	0.0101	0.00617	0.01026	0.02709	0.0	0.95573	0.16964	0.15825	0.01097	0.02456	0.0061	0.07098	0.00952	0.0	0.01104	0.13401	0.0	0.96023	0.01472	0.05232	0.0205
chr19	35663918	35663941	0.07238	0.0	0.0	0.02945	0.02632	0.0	0.1142	0.00125	0.00539	0.00294	0.02171	0.0	0.95049	0.09114	0.01389	0.00813	0.00926	0.28344	0.00791	0.03125	0.01	0.07733	0.05715	0.08454	0.0	0.0	0.0	0.07076	0.0	0.0	0.0
chr3	141593016	141593227	0.07715	0.01902	0.0	0.0	0.02817	0.01111	0.00752	0.0	0.00402	0.014	0.0	0.0	0.04785	0.01827	0.01111	0.01018	0.19326	0.0636	0.00222	0.0049	0.03191	0.03553	0.00641	0.0695	0.0	0.00658	0.02581	0.00775	0.89132	0.78452	0.00781
chr10	88241233	88241425	0.004	0.0	0.0	0.0	0.0	0.0	0.00761	0.0	0.0	0.00318	0.85883	0.0	0.00807	0.0	0.00309	0.20936	0.05837	0.02129	0.01898	0.0	0.0	0.0	0.0	0.0	0.0	0.07622	0.00481	0.0	0.02074	0.0904	0.00534
chr12	125636231	125636496	0.0	0.00392	0.0	0.0	0.0	0.0	0.01383	0.0	0.00071	0.0	0.19631	0.91411	0.00137	0.00756	0.00198	0.0	0.0	0.12959	0.00438	0.00472	0.0	0.0	0.0	0.0	0.0	0.0	0.01029	0.00529	0.00904	0.0	0.12653
chr21	18266959	18267054	0.0	0.00385	0.02428	0.0	0.90612	0.1265	0.02274	0.01386	0.01245	0.004	0.0	0.0	0.00292	0.00521	0.01382	0.0	0.00813	0.26426	0.03357	0.0	0.03887	0.0	0.0	0.0	0.01667	0.00862	0.0	0.0	0.0	0.0	0.0
chr4	899775	900175	0.0	0.00328	0.0	0.0	0.0	0.0	0.00449	0.0	0.00044	0.02699	0.0	0.0	0.02208	0.0	0.0	0.0	0.0	0.02629	0.25313	0.11671	0.02756	0.99396	0.85141	0.79488	0.01119	0.0	0.0	0.0	0.0	0.00527	0.0
chr10	94859470	94859637	0.23151	0.04743	0.0	0.04386	0.0	0.0	0.05868	0.01315	0.08335	0.01212	0.01732	0.0	0.00466	0.0	0.00674	0.14293	0.93181	0.2369	0.0	0.00806	0.083	0.03256	0.0	0.0101	0.0	0.10721	0.01104	0.0	0.19995	0.20906	0.00388
chr1	174941755	174941817	0.66601	0.0	0.0119	0.01961	0.0	0.09897	0.00675	0.0	0.0025	0.02538	0.0	0.0	0.01449	0.0	0.0	0.0	0.0	0.15397	0.00718	0.02632	0.03125	0.0119	0.0	0.0	0.02024	0.12255	0.00962	0.0	0.02416	0.0	0.15304
chr4	187564589	187564847	0.00656	0.07893	0.00606	0.02063	0.0	0.0	0.02642	0.00933	0.0465	0.0	0.0162	0.0	0.00403	0.0	0.03006	0.00995	0.0	0.23858	0.00624	0.00294	0.06495	0.08608	0.04648	0.02068	0.0366	0.00521	0.02034	0.10646	0.0	0.0	0.79175
chr11	94352937	94353245	0.00345	0.0	0.0	0.0	0.01404	0.17281	0.0102	0.00781	0.0	0.0044	0.00538	0.0	0.00326	0.0	0.10886	0.0	0.0	0.18009	0.0	0.00391	0.022	0.02751	0.01269	0.13419	0.76786	0.0	0.00463	0.0	0.0	0.0	0.01306
chr8	10210827	10211098	0.04316	0.0	0.00457	0.0045	0.0	0.0	0.03316	0.01248	0.10721	0.017	0.0543	0.11004	0.01361	0.06196	0.00235	0.00934	0.01754	0.14131	0.67948	0.00841	0.01663	0.01549	0.0	0.01481	0.01174	0.09781	0.01337	0.00402	0.0	0.02781	0.00497
chr9	37680264	37680310	0.05338	0.0	0.0	0.0	0.0	0.0	0.0694	0.00645	0.0116	0.0	0.0	0.0	0.0267	0.03086	0.02348	0.07137	0.08779	1.0	0.034	0.04077	0.04061	0.04902	0.05536	0.08565	0.01724	0.03937	0.0	0.099	0.01784	0.02299	0.00427
chr7	2116648	2116853	0.00967	0.00697	0.92936	0.0	0.0	0.0	0.01586	0.21129	0.00434	0.00128	0.0	0.0	0.00242	0.0	0.0033	0.00556	0.00427	0.05588	0.0023	0.00962	0.00769	0.0	0.0	0.0	0.0	0.01543	0.0	0.0	0.0	0.0081	0.0
