chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr3	10245505	10245598	0.90699	0.0	0.0	0.0	0.0	0.02667	0.02655	0.01931	0.00156	0.98963	0.02667	0.0	0.98348	0.0	0.94753	0.07454	0.00926	0.10055	0.0	0.0	0.04196	0.13922	0.0	0.0101	0.01471	0.1597	1.0	0.15748	0.0098	0.03001	0.00934
chr15	90749747	90749808	0.05778	0.04329	0.03574	0.0119	0.0	0.0	0.03139	0.02678	0.009	0.0	0.0	0.0101	0.003	0.92196	0.02558	0.01587	0.0304	0.86204	0.03917	0.0	0.0	0.02052	0.0119	0.02647	0.01136	0.03005	0.00862	0.02341	0.06606	0.04122	0.01745
chr6	16158993	16159096	0.03985	0.01916	0.0	0.0	0.0	0.03639	0.02092	0.01442	0.00727	0.02101	0.00667	0.01042	0.01423	0.03	0.04602	0.0	0.01835	0.09607	0.06121	0.92893	0.00625	0.02778	0.0	0.03056	0.0	0.0	0.0	0.87991	0.01418	0.07698	0.0
chr7	122312847	122312893	0.0	0.0	0.02128	0.01451	0.00781	0.0	0.00681	0.02449	0.00619	0.00213	0.01887	0.0	0.0	0.00463	0.0	0.0	0.0	0.23903	0.0109	0.0	0.95236	0.00855	0.0	0.00926	0.0867	0.0	0.0	0.0	0.0	0.00694	0.00347
chr6	6610344	6610399	0.01326	0.86775	0.05224	0.9037	0.01351	0.0	0.02852	0.10476	0.90247	0.01164	0.0	0.0	0.00529	0.00327	0.01508	0.0	0.00694	0.16558	0.01298	0.00658	0.00446	0.01852	0.00926	0.01075	0.0	0.0	0.0	0.0	0.0	0.00833	0.0
chr2	109671110	109671241	0.05014	0.05364	0.0	0.02496	0.0	0.03708	0.03089	0.01077	0.02361	0.00835	0.0	0.0	0.00247	0.00855	0.00521	0.06916	0.88249	0.26982	0.00724	0.01443	0.39355	0.0183	0.00877	0.05722	0.0061	0.03585	0.0	0.01647	0.95447	0.91386	0.0
chr15	101093772	101093974	0.00312	0.00392	0.70095	0.0	0.0	0.0	0.0183	0.11119	0.00111	0.0	0.00833	0.0	0.00946	0.0	0.0045	0.0	0.0	0.15697	0.0059	0.00439	0.00581	0.00585	0.00995	0.0	0.00543	0.0	0.0	0.0	0.0	0.00402	0.00303
chr14	105688093	105688235	0.0	0.0	0.0	0.0	0.0	0.25397	0.00229	0.00104	0.0	0.0	0.93827	0.99537	0.18871	0.0	0.00932	0.0068	0.03211	0.02375	0.06652	0.00625	0.12683	0.00901	0.0	0.00877	0.12219	0.08344	0.0	0.0	0.0	0.00575	0.00641
chr7	5558920	5559127	0.00888	0.07295	0.03914	0.0	0.0125	0.01587	0.02106	0.0157	0.04379	0.02759	0.02262	0.0068	0.0096	0.03085	0.00397	0.80419	0.04205	0.20996	0.00488	0.0	0.13927	0.07005	0.18868	0.00877	0.0	0.02503	0.03298	0.06697	0.02122	0.027	0.0
chr1	73115207	73115401	0.00345	0.00934	0.0113	0.0127	0.83248	0.25221	0.00378	0.00271	0.00523	0.0	0.0	0.0	0.00933	0.0	0.0169	0.0	0.03391	0.15684	0.00299	0.00801	0.04624	0.0	0.0	0.00629	0.0	0.05182	0.0	0.0	0.0	0.00498	0.0
chr15	70268832	70268928	1.0	0.97562	0.99099	0.96154	0.9875	1.0	0.96482	0.96982	0.9797	0.99354	1.0	0.94186	0.92845	0.99479	0.94464	0.98432	0.94341	0.94383	0.10435	0.91815	0.91061	0.00813	0.06773	0.16874	0.96823	0.98438	1.0	0.94987	0.98457	1.0	0.9793
chr1	203109512	203109526	0.0	0.0	0.0	0.0	0.0	0.0	0.01721	0.00312	0.00263	0.0	0.0	0.0	0.003	0.10286	0.0049	0.0	0.00641	0.20345	0.44169	0.06033	0.02599	0.02636	0.01149	0.0	0.78435	0.0	0.00595	0.0	0.01282	0.0	0.0
chr5	159338392	159338436	0.0	0.0	0.0	0.0	0.0	0.0	0.02722	0.01277	0.00849	0.0	0.0638	0.01075	0.00748	0.00595	0.9117	0.0	0.0	0.27296	0.00303	0.0	0.02026	0.02188	0.0	0.0	0.0	0.0	0.05738	0.0	0.0	0.01075	0.89734
