chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr5	171602175	171602257	0.12507	1.0	1.0	1.0	0.0	0.0	0.146	0.98069	1.0	0.04818	0.0	0.07407	0.0413	0.0098	0.07389	0.0	0.02663	1.0	0.03766	0.02273	0.025	0.03509	0.0	0.0	0.0125	0.01389	0.15298	0.0	0.01389	0.01852	0.0356
chr16	75262836	75263298	0.01174	0.03198	0.00779	0.01026	0.00455	0.00366	0.01133	0.00465	0.0228	0.00467	0.01212	0.0037	0.00701	0.02778	0.00375	0.00641	0.00902	0.17838	0.01279	0.0154	0.96424	0.0101	0.03039	0.00412	0.03884	0.0	0.00236	0.01493	0.01136	0.01684	0.00159
chr5	126095854	126095977	0.008	0.0	0.00926	0.0	0.00862	0.03805	0.01596	0.00321	0.0	0.97818	0.02304	0.0	0.02889	0.00521	0.01336	0.0	0.03774	0.11754	0.0	0.0	0.03243	0.0	0.0	0.0	0.0	0.0	0.99167	0.0	0.0	0.01515	0.0243
chr15	60032018	60032097	0.03088	0.00741	0.0	0.0	0.0	0.0	0.07448	0.00656	0.00559	0.02429	0.0	0.0101	0.01216	0.06006	0.94214	0.0	0.0	0.21649	0.00556	0.0	0.04019	0.0	0.0	0.0	0.0	0.01471	0.01136	0.01111	0.0	0.0	0.04067
chr9	135140773	135140911	0.0	0.00645	0.0	0.0	0.0	0.0	0.00338	0.0	0.00311	0.0	0.09034	0.00952	0.04889	0.89906	0.0	0.00709	0.0	0.05433	0.00627	0.0	0.0	0.01802	0.02517	0.0	0.0	0.01667	0.0	0.0	0.00654	0.00901	0.0
chr20	62242320	62242834	0.02397	0.00531	0.00362	0.0	0.0	0.00333	0.01798	0.00798	0.00192	0.01941	0.0256	0.01688	0.01085	0.0128	0.00615	0.01166	0.00595	0.13169	0.00626	0.01778	0.01703	0.00687	0.021	0.03495	0.01013	0.00786	0.0074	0.69725	0.04172	0.01167	0.01228
chr16	74782126	74782286	0.00426	0.0	0.0	0.0	0.0	0.0	0.04133	0.00382	0.01966	0.0	0.00709	0.01232	0.00524	0.01995	0.03354	0.02044	0.00813	0.16637	0.06377	0.94626	0.00676	0.01587	0.02548	0.0	0.02674	0.00735	0.00676	0.0	0.00556	0.0	0.00321
chr2	103095374	103095393	0.0	0.0	0.0	0.0	0.06516	0.05033	0.04398	0.00306	0.00603	0.0	0.0	0.0	0.96174	0.05047	0.00833	0.01042	0.0	0.13623	0.00825	0.0125	0.09062	0.0	0.04612	0.0	0.04381	0.01777	0.0	0.0	0.01587	0.0	0.03998
chr9	137926862	137927089	0.04832	0.02085	0.01142	0.02326	0.0	0.01626	0.02655	0.00772	0.01385	0.16223	0.09068	0.03786	0.0524	0.00282	0.03008	0.02118	0.04509	0.22436	0.00185	0.0	0.05717	0.02573	0.00813	0.00794	0.01068	0.02405	0.07109	0.00617	1.0	0.97584	0.00585
chr6	36396082	36396187	0.0	0.01254	0.0	0.0	0.0	0.0	0.00998	0.00224	0.01245	0.0	0.86108	0.16215	0.00202	0.00901	0.00292	0.00546	0.00758	0.07409	0.00547	0.0	0.03952	0.07038	0.04472	0.06203	0.00781	0.0122	0.0	0.00595	0.0	0.0	0.03813
