chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr2	79085386	79085422	0.02998	0.86661	1.0	0.94666	0.035	0.04549	0.15004	0.89975	0.89935	0.00938	0.0	0.0	0.04387	0.03315	0.12034	0.01075	0.01648	0.98788	0.20336	0.01429	0.0	0.01961	0.0	0.02564	0.0	0.03012	0.02031	0.0	0.01282	0.03175	0.00362
chr12	112014821	112015139	0.00558	0.00385	0.01458	0.0	0.00521	0.0	0.00446	0.00569	0.00175	0.01274	0.00412	0.00498	0.00581	0.01968	0.83962	0.0034	0.0	0.03681	0.00831	0.01104	0.0	0.0	0.0	0.0	0.0	0.00872	0.00379	0.0	0.0	0.0	0.01031
chr8	143374358	143374419	0.00741	0.01053	0.0	0.02778	0.0	0.01961	0.03226	0.0025	0.01679	0.03878	0.0	0.01754	0.02327	0.0	0.0	0.02048	0.01515	0.16594	0.03013	0.0	0.97569	0.01449	0.03548	0.0	0.01667	0.0	0.1456	0.0	0.02222	0.03704	0.0
chr18	47040451	47040573	0.03401	0.03273	0.00952	0.02381	0.0	0.01667	0.0221	0.01222	0.03974	0.97846	0.00741	0.00725	0.00594	0.00617	0.0	0.01276	0.0	0.38182	0.0	0.0	0.0122	0.02708	0.01389	0.0	0.01667	0.02252	0.9837	0.0	0.01235	0.03028	0.03208
chr6	40404983	40405052	0.0	0.04157	0.0	0.0	0.02083	0.02083	0.06376	0.00543	0.01732	0.02838	0.0	0.0	0.0	0.10165	0.00926	0.0	0.02151	0.24722	0.09995	0.95141	0.0	0.0	0.0	0.0	0.0	0.01667	0.0	0.02778	0.0	0.0	0.01835
chr2	10985095	10985195	0.0	0.01436	0.0	0.0	0.0	0.0	0.01898	0.00142	0.0	0.0045	0.0	0.0	0.00337	0.98338	0.0	0.0	0.0	0.21934	0.04642	0.0	0.01073	0.0119	0.0	0.0	0.00694	0.00641	0.0	0.00725	0.00833	0.0	0.00754
chr1	230265932	230266076	0.04399	0.0	0.17654	0.0	0.0	0.0	0.01069	0.00511	0.00161	0.0	0.09195	0.00775	0.00901	0.01188	0.00617	0.37555	0.01593	0.24429	0.01231	0.0	0.04848	0.0	0.01333	0.01852	0.01759	0.0	0.0	1.0	0.0	0.01235	0.04632
chr7	97920858	97921050	0.01439	0.0129	0.0	0.00952	0.0	0.0	0.012	0.00502	0.00369	0.01423	0.0	0.0	0.83846	0.00427	0.00748	0.08406	0.20645	0.24395	0.0	0.0061	0.06792	0.01607	0.05833	0.11118	0.02296	0.06929	0.04195	0.0	0.0362	0.07249	0.00983
chr2	190493686	190493942	0.09143	0.03076	0.00457	0.0177	0.05283	0.011	0.01302	0.01375	0.01507	0.02121	0.0	0.01557	0.00496	0.0045	0.0159	0.01813	0.0994	0.18885	0.00646	0.0	0.1067	0.02113	0.03068	0.03825	0.0	0.07572	0.01558	0.0	0.99156	0.82177	0.00206
chr4	186845917	186846166	0.00889	0.00417	0.0	0.0	0.01411	0.0	0.01914	0.00603	0.02003	0.00404	0.91395	0.99471	0.00347	0.0	0.00235	0.0	0.0	0.23903	0.04476	0.00863	0.0	0.01434	0.0	0.00694	0.0	0.00963	0.0	0.0	0.0	0.01435	0.15036
