chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr10	5546970	5547066	0.80829	0.07327	0.01961	0.01667	0.89975	0.83983	0.07297	0.00556	0.10167	0.0	0.01333	0.15401	0.0	0.12218	0.0119	0.80669	0.98039	0.16768	0.02825	0.04583	0.1305	0.04444	0.08333	0.02778	0.11562	0.95691	0.03125	0.18889	0.98889	0.98333	0.0
chr21	44083608	44083854	0.00743	0.04077	0.0	0.88658	0.01788	0.0	0.01015	0.01054	0.03825	0.0	0.0	0.0	0.0021	0.94568	0.00463	0.0	0.0	0.89587	0.03859	0.14149	0.08993	0.0	0.0	0.01111	0.00463	0.0	0.0	0.00606	0.01318	0.00758	0.0
chr18	46100157	46100331	0.0	0.0	0.0	0.0	0.01786	0.00952	0.01346	0.00861	0.00792	0.0051	0.01626	0.01587	0.02697	0.0	0.91944	0.01042	0.00606	0.21032	0.02458	0.04229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00647
chr16	1042311	1042388	0.00625	0.01818	0.0	0.0	0.0	0.02381	0.04978	0.01942	0.00208	0.04061	0.06517	0.01389	0.02199	0.10219	0.05318	0.03095	0.0	0.10944	0.08643	0.97141	0.15482	0.0	0.0	0.0	0.0	0.00806	0.05473	0.01333	0.0	0.01282	0.02333
chr21	30733363	30733466	0.11991	0.0	0.0	0.0	0.0	0.14338	0.0327	0.00208	0.00476	0.12731	0.06431	0.0	0.04982	0.0	0.0162	0.1133	0.09166	0.02708	0.03403	0.0467	0.98385	0.06734	0.04762	0.18881	0.02604	0.02432	0.11706	0.0	0.02369	0.11332	0.01647
chr11	14564373	14564657	0.00769	0.0	0.01507	0.0	0.01	0.0	0.00624	0.00402	0.00185	0.88485	0.0736	0.0	0.0	0.0	0.0	0.0	0.00617	0.08588	0.01986	0.03349	0.0	0.0	0.0	0.0	0.0	0.02363	0.0	0.01235	0.0	0.00654	0.00417
chr13	23986169	23986372	0.0239	0.00786	0.00926	0.0	0.0	0.0	0.04444	0.00511	0.0052	0.0	0.07161	0.03641	0.0038	0.11917	0.0124	0.01473	0.00992	0.12768	0.04746	0.01917	0.00581	0.0	0.00709	0.00758	0.01042	0.00813	0.0	0.94444	0.00775	0.00521	0.01616
chr5	90322636	90322767	0.03026	0.14891	0.02496	0.06596	0.05556	0.0	0.0391	0.01884	0.17277	0.03316	0.15383	0.00794	0.94121	0.0	0.0	0.02785	0.01449	0.37313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01852	0.0	0.03509	0.0	0.02137	0.0
chr16	23582466	23582649	0.01778	0.97838	0.91266	0.10409	0.03436	0.0	0.07358	0.92812	0.00993	0.00521	0.0	0.00901	0.0073	0.02535	0.03762	0.02557	0.0218	0.20135	0.19584	0.02381	0.02291	0.00855	0.0	0.0	0.0	0.0	0.01042	0.0119	0.0	0.0	0.00427
chr7	45188176	45188312	0.05347	0.0	0.0	0.01111	0.01736	0.02151	0.13494	0.0027	0.00192	0.02368	0.8645	0.14578	0.08868	0.075	0.06248	0.16786	0.0925	0.14028	0.00777	0.01518	0.17427	0.07191	0.05325	0.09612	0.04396	0.06013	0.05123	0.04016	0.04168	0.12876	0.15402
