chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr12	10396471	10396711	0.02977	1.0	1.0	1.0	0.0152	0.00813	0.06632	0.96872	0.98806	0.0247	0.01221	0.01026	0.01512	0.01493	0.03856	0.00402	0.0131	1.0	0.02299	0.01511	0.031	0.03205	0.01209	0.01802	0.0	0.0	0.04799	0.00476	0.02452	0.06632	0.00238
chr7	48002098	48002179	0.0	0.0	0.0	0.0	0.0	0.0	0.04905	0.00618	0.0	1.0	0.05417	0.06667	0.1548	0.0	0.0	0.09236	0.0	0.09136	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.02222	0.0	0.0
chr12	120764629	120765092	0.00535	0.0	0.0	0.00427	0.0	0.0	0.01634	0.00473	0.01359	0.00372	0.01235	0.0145	0.00285	0.00238	0.0	0.25552	0.01569	0.0954	0.00789	0.00312	0.97516	0.00797	0.00952	0.01595	0.0521	0.0	0.00272	0.0	0.01721	0.02338	0.0
chr9	17436967	17437175	0.00385	0.00786	0.00617	0.0	0.00714	0.00641	0.01009	0.01177	0.02821	0.00595	0.00629	0.0	0.00185	0.0	0.92345	0.0	0.0	0.1781	0.0	0.0	0.00312	0.0329	0.00741	0.02222	0.06588	0.0	0.00379	0.0	0.01722	0.02067	0.0
chr18	72764410	72764616	0.02198	0.00909	0.0	0.0	0.02803	0.0	0.01313	0.00606	0.0052	0.0	0.0	0.0098	0.03456	0.92559	0.0	0.93183	0.07011	0.15558	0.00244	0.01136	0.0	0.06003	0.03651	0.0386	0.0	0.0	0.00833	0.92497	0.0	0.0	0.02786
chr12	131317848	131317923	0.05142	0.0	0.05105	0.0	0.0	0.00877	0.02342	0.058	0.0	0.00238	0.00901	0.0	0.01461	0.0	0.04088	0.0	0.0	0.04938	0.06536	0.89796	0.00676	0.0	0.0	0.0	0.0	0.02062	0.02431	0.00855	0.0	0.0	0.0
chr12	80052815	80053053	0.0	0.0	0.00498	0.01635	0.0	0.0	0.00559	0.01	0.0191	0.0	0.00709	0.0	0.88403	0.00407	0.0	0.00617	0.00565	0.2355	0.00233	0.00391	0.0	0.0	0.0	0.0	0.0	0.03355	0.0041	0.00595	0.00758	0.0	0.00743
chr17	42110177	42110440	0.01111	0.0	0.0	0.0	0.01539	0.06445	0.00756	0.0	0.00143	0.0	0.03884	0.00758	0.00661	0.0	0.0	0.12069	0.109	0.02469	0.0	0.00714	0.0051	0.01618	0.0199	0.0	0.0	0.00455	0.0	0.03724	0.87609	0.92919	0.10039
chr7	140007810	140007875	0.0	0.02229	0.01961	0.0	0.05254	0.0	0.07351	0.0026	0.0203	0.11534	1.0	0.79582	0.07286	0.0	0.0	0.0	0.08803	0.13739	0.02551	0.00962	0.04356	0.02381	0.0	0.0	0.0	0.00962	0.06905	0.15	0.0	0.05468	0.10913
chr22	31483907	31484125	0.0	0.0	0.0	0.0	0.77837	0.0322	0.03098	0.0008	0.00104	0.0	0.00565	0.02661	0.0089	0.00805	0.01705	0.0	0.0	0.06276	0.06771	0.0091	0.00391	0.0	0.0	0.0101	0.01042	0.01042	0.005	0.00758	0.0	0.01331	0.02274
