chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr1	75169212	75169368	0.9444	0.1496	0.02183	0.29615	0.97159	0.91743	0.01931	0.02266	0.0311	0.02621	0.95833	0.99123	0.08531	0.0	0.00658	0.99092	0.98549	0.28403	0.00208	0.0	0.00781	0.02315	0.0202	0.04282	0.28457	0.88254	0.00481	0.33712	0.76721	0.97933	0.13775
chr8	43048849	43048963	0.00714	0.0	0.0	0.0	0.02786	0.10255	0.01748	0.00169	0.00185	0.02678	0.0392	0.01042	0.0092	0.00556	0.92385	0.03914	0.02264	0.15105	0.05105	0.00595	0.02444	0.04221	0.06455	0.10691	0.0	0.01266	0.14888	0.0	0.02273	0.03335	0.03098
chr1	171869295	171869496	0.0	0.02857	0.0	0.0	0.0	0.0	0.00337	0.00594	0.01495	0.0	0.0	0.0	0.00617	0.0049	0.04273	0.00926	0.00758	0.27571	0.11783	0.93611	0.07142	0.0201	0.0	0.0	0.0	0.0	0.0	0.0	0.0101	0.00901	0.00538
chr2	74694184	74694280	0.04386	0.0	0.06731	0.0	0.04167	0.0	0.0141	0.0	0.00947	0.01082	0.01389	0.02381	0.95332	0.06189	0.05345	0.08182	0.02963	0.70411	0.00714	0.0375	0.89931	0.0	0.0754	0.0	0.0	0.0	0.05739	0.0303	0.01667	0.03737	0.0
chr4	187628328	187628420	0.00435	0.00526	0.03031	0.0	0.0	0.0	0.00612	0.00733	0.0	0.0122	0.0	0.0	0.0	0.8499	0.00256	0.0	0.00741	0.18244	0.0046	0.0	0.0	0.00556	0.00725	0.0	0.0	0.0	0.0	0.0	0.0	0.01212	0.0
chr3	122070197	122070471	0.0	0.008	0.0	0.01742	0.0	0.0	0.0159	0.00667	0.00718	0.79507	0.01709	0.00556	0.00315	0.0075	0.0	0.0068	0.0	0.18495	0.00377	0.0	0.01826	0.02088	0.02369	0.0101	0.0	0.00424	0.00455	0.0	0.00433	0.00498	0.0037
chr21	46252493	46252616	0.02476	0.00392	0.0	0.0	0.00781	0.0	0.02598	0.0131	0.00801	0.002	0.0	0.02698	0.00222	0.0	0.02639	0.02465	0.01681	0.1358	0.00853	0.00431	0.0419	0.11069	0.06626	0.0	0.01296	0.01515	0.01302	0.73231	0.01224	0.01282	0.00788
chr10	98405153	98405487	0.01487	0.83053	0.82526	0.01064	0.01073	0.02583	0.06772	0.8968	0.00572	0.0	0.0	0.0	0.0	0.01107	0.04408	0.00832	0.01111	0.11495	0.01509	0.03023	0.00985	0.008	0.0	0.00427	0.00926	0.00869	0.00231	0.00337	0.01567	0.02634	0.00422
chr18	74660428	74660607	0.0	0.10707	0.03254	0.91963	0.01136	0.0	0.01851	0.06383	0.90946	0.007	0.0	0.0	0.00725	0.17471	0.00968	0.00606	0.00833	0.25281	0.01937	0.0	0.0	0.0	0.0	0.0	0.00862	0.00625	0.0	0.00877	0.00775	0.02961	0.0037
chr5	180326544	180326590	0.0	0.0	0.0	0.01111	0.0	0.0	0.03242	0.00179	0.0056	0.12072	0.0	0.0	0.0448	0.00833	0.02225	0.01307	0.0	0.22914	0.00169	0.0	0.0	0.06061	0.0101	0.07666	0.00781	0.0	0.7263	0.0	0.0	0.0101	0.0
chr13	108516941	108517157	0.92941	0.89249	0.92786	0.95511	0.95555	0.9757	0.96871	0.9144	0.91624	0.8733	1.0	0.9343	0.96695	0.99444	0.95025	0.97905	0.98801	0.97812	0.82845	0.97224	0.97917	0.05734	0.20778	0.05513	0.97842	0.96797	0.95824	0.93558	0.9207	0.96177	0.92225
chr11	123938075	123938116	0.01467	0.14765	0.0	0.0	0.01389	0.01282	0.04511	0.01148	0.01046	0.00303	0.74957	0.71196	0.04624	0.00556	0.08994	0.00813	0.02729	0.23377	0.012	0.00893	0.00862	0.15892	0.10046	0.05972	0.0208	0.0625	0.05208	0.01709	0.0	0.10076	0.7654
chr9	124464309	124464492	0.0994	0.00645	0.0	0.00575	0.91269	0.05317	0.0041	0.00316	0.00484	0.0	0.0	0.0	0.0067	0.01282	0.00303	0.08879	0.20891	0.21758	0.80061	0.01504	0.00338	0.0	0.00654	0.0	0.0	0.27515	0.0	0.0	0.13604	0.07096	0.00253
chr15	93874250	93874323	0.0	0.0	0.0	0.0	0.0	0.0	0.02522	0.00298	0.0	0.00769	0.01333	0.28144	0.02939	0.09193	0.10294	0.74035	0.0341	0.17676	0.0	0.025	0.04874	0.01852	0.0	0.0	0.9062	0.0	0.01389	0.01149	0.0	0.0	0.02486
chr20	3121711	3121861	0.15404	0.0	0.0	0.0	0.0	0.0	0.00722	0.00152	0.00143	0.02055	0.0	0.0	0.0021	0.0	0.00741	0.02123	0.17019	0.07186	0.0	0.0	0.00532	0.0	0.0	0.0	0.0	0.05586	0.00694	0.00709	0.88828	0.73821	0.00463
chr21	44473496	44473692	0.01623	0.00588	0.77832	0.01042	0.13329	0.02085	0.02539	0.12312	0.00722	0.0	0.00667	0.0	0.00686	0.00538	0.0146	0.04329	0.83726	0.12557	0.05296	0.0	0.0	0.01391	0.00813	0.01905	0.00556	0.03271	0.00625	0.0	0.01026	0.27609	0.0
