chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr10	114929808	114930226	0.02015	0.98869	1.0	0.98634	0.00796	0.02626	0.09749	0.94072	0.82949	0.0112	0.0	0.0	0.00775	0.0237	0.03709	0.00321	0.00749	0.98506	0.01778	0.00785	0.01213	0.00427	0.0	0.0123	0.00284	0.00312	0.02994	0.00647	0.0	0.03606	0.0034
chr3	52812520	52812612	0.0	0.0	0.0	0.01754	0.0119	0.0	0.10766	0.02222	0.00499	0.0	0.0	0.01449	0.01308	0.01889	0.97037	0.0199	0.0	0.1626	0.0027	0.00532	0.02812	0.00725	0.0	0.01961	0.04476	0.0	0.0	0.01042	0.01042	0.01449	0.01497
chr5	116183774	116183996	0.0	0.01051	0.01923	0.0251	0.0	0.0	0.02973	0.00962	0.02591	0.99448	0.0	0.0	0.02694	0.0	0.01427	0.01852	0.00654	0.21029	0.002	0.0	0.05371	0.02091	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
chr13	27566274	27566503	0.0	0.00513	0.01571	0.03419	0.0	0.0	0.05714	0.01439	0.04423	0.00764	0.0	0.0	0.00258	0.0037	0.03651	0.0	0.00654	0.23115	0.05603	0.90113	0.03151	0.01667	0.00952	0.0	0.005	0.00556	0.00758	0.0	0.0	0.00758	0.00717
chr3	148568331	148568373	0.025	0.0	0.0	0.0	0.0	0.0	0.0072	0.00456	0.00192	0.02367	0.0	0.0	0.0	0.0	0.00595	0.00952	0.01075	0.03675	0.0	0.0	0.81053	0.0	0.0	0.0	0.04433	0.00781	0.04632	0.0	0.02517	0.02381	0.01477
chr17	45296833	45297428	0.01964	0.00312	0.00273	0.0033	0.01152	0.01412	0.01092	0.00037	0.00549	0.00208	0.0	0.0	0.01999	0.81902	0.0	0.03249	0.03025	0.14504	0.00092	0.0	0.02777	0.0059	0.01526	0.01399	0.0	0.01063	0.00238	0.0034	0.01364	0.02786	0.00348
chr9	91899058	91899276	0.05358	0.00435	0.0	0.0	0.00676	0.0098	0.03462	0.00381	0.01451	0.00722	0.00952	0.01852	0.01094	0.04197	0.00407	0.90037	0.17439	0.19783	0.0156	0.0	0.01865	0.0	0.04049	0.01282	0.01282	0.01899	0.01758	0.8165	0.00694	0.04079	0.00877
chr9	116970723	116971031	0.03638	0.05646	0.00725	0.02854	0.0	0.00855	0.03291	0.0094	0.03837	0.01814	0.01587	0.0	0.92415	0.19523	0.01429	0.0228	0.01358	0.2744	0.03367	0.01206	0.03097	0.25354	0.00833	0.0	0.01267	0.06414	0.04565	0.0	0.03057	0.05599	0.01051
chr11	19990421	19990483	0.01739	0.0	0.0	0.0	0.0	0.0	0.00311	0.0	0.0	0.0	0.03509	0.18268	0.0119	0.0	0.0	0.13888	0.28775	0.0419	0.0	0.02812	0.0	0.0	0.0	0.0	0.0	0.03613	0.0	0.01587	0.94401	0.88508	0.01474
chr5	74614461	74614887	0.0	0.0	0.02335	0.00546	0.0085	0.0	0.01234	0.00446	0.02143	0.0	0.88713	0.03834	0.00416	0.02338	0.00402	0.00407	0.00669	0.21138	0.00249	0.0	0.04367	0.01607	0.0226	0.00469	0.0164	0.01515	0.00347	0.07407	0.0	0.00783	0.01258
chr13	101925572	101925598	0.06828	0.02171	0.00813	0.0	0.01587	0.06902	0.04498	0.02851	0.03023	0.0201	0.28285	0.84267	0.16671	0.01282	0.08888	0.13916	0.11169	0.30184	0.02216	0.0	0.04494	0.03899	0.01961	0.03704	0.1516	0.06003	0.0	0.00833	0.05648	0.1744	0.25818
chr13	33741575	33741801	0.00769	0.00984	0.0049	0.00565	0.80823	0.16833	0.01825	0.01116	0.00217	0.00725	0.0	0.0	0.00159	0.0	0.0	0.0	0.05075	0.2084	0.0382	0.025	0.0	0.0185	0.02857	0.00855	0.0	0.0	0.00877	0.0	0.0	0.01111	0.0
chr2	179006412	179006484	0.02667	0.01538	0.02083	0.02778	0.04167	0.03704	0.09629	0.03307	0.01594	0.1796	0.38413	0.0	0.07854	0.0	0.08604	0.06723	0.14091	0.20833	0.08784	0.075	0.26272	1.0	1.0	0.97619	0.03125	0.02273	0.12351	0.02222	0.07037	0.01961	0.31074
chr8	72269986	72270117	0.008	0.02937	0.00741	0.00901	0.0	0.0	0.02699	0.00797	0.01141	0.00213	0.00758	0.0	0.00498	0.0	0.03569	0.08335	0.83202	0.23606	0.0	0.0	0.14329	0.0	0.02052	0.00877	0.01926	0.00532	0.0125	0.00855	0.04165	0.02541	0.0
chr8	37682104	37682234	0.81941	0.03327	0.0098	0.01282	0.02941	0.15272	0.00615	0.01611	0.03038	0.00796	0.01905	0.0	0.19146	0.00575	0.1031	0.11354	0.08905	0.23757	0.0	0.0	0.17848	0.0	0.0	0.02083	0.00962	0.34344	0.01538	0.05369	0.11313	0.08859	0.01728
chr4	38399221	38399367	0.20988	0.00784	0.0	0.0098	0.0	0.0	0.02861	0.00248	0.02447	0.0	0.0	0.00741	0.07933	0.0	0.01122	0.0	0.00855	0.23289	0.00629	0.01	0.02788	0.25445	0.01149	0.00758	0.844	0.2789	0.01339	0.0	0.01429	0.00606	0.16269
chr17	17630427	17630459	0.08387	0.00833	0.0	0.01961	0.0	0.0	0.08834	0.01215	0.02348	0.01289	0.03	0.01282	0.00786	0.0	0.00463	0.03384	0.12438	0.09351	0.69558	0.03234	0.0	0.01961	0.03846	0.05401	0.0	0.04194	0.0	0.0	0.01515	0.02075	0.01221
chr15	69073973	69074053	0.01651	0.01576	0.92354	0.01915	0.03988	0.06349	0.03435	0.16143	0.00384	0.0	0.03853	0.10808	0.00517	0.03361	0.02605	0.01975	0.05871	0.01736	0.05562	0.0328	0.0	0.0	0.02558	0.0	0.00714	0.02754	0.0	0.08609	0.01948	0.12153	0.77492
chr8	141308022	141308126	0.01818	0.19198	0.16826	0.17841	0.06212	0.0	0.09144	0.07608	0.12143	0.02854	0.10845	0.12819	0.11043	0.0	0.0	0.03704	0.13402	0.96296	0.015	0.0	0.12479	0.16667	0.24046	0.09259	0.0	0.07361	0.0125	0.01961	0.04	0.0381	0.14074
chr17	16875318	16875606	0.02631	0.91564	0.00427	0.00617	0.0051	0.0	0.02385	0.02911	0.13673	0.00265	0.00457	0.0	0.02615	0.0	0.02173	0.0	0.01538	0.1947	0.00328	0.0	0.00385	0.0113	0.00741	0.00667	0.01034	0.00941	0.01696	0.0	0.0	0.02464	0.00653
chr15	92929451	92929470	0.12221	0.03205	0.01852	0.02778	0.94011	0.85648	0.20895	0.01757	0.08047	0.07995	0.0	0.12717	0.15865	0.05533	0.27474	0.10941	0.19236	0.34166	0.22974	0.02894	0.37814	0.2754	0.30742	0.2511	0.12588	0.16624	0.12866	0.10154	0.1405	0.22726	0.10966
chr12	10464850	10464885	0.0	0.00952	0.03757	0.97101	0.0	0.0	0.07604	0.0181	0.20967	0.04854	0.03086	0.0	0.02985	0.06727	0.05636	0.0119	0.0	0.24018	0.005	0.0	0.07887	0.12556	0.0	0.01852	0.00926	0.01316	0.03851	0.0	0.03085	0.05017	0.01575
chr3	24052031	24052255	0.88611	0.005	0.00855	0.0	0.0	0.0	0.00071	0.00149	0.01189	0.00986	0.0	0.0	0.00337	0.0	0.0	0.06995	0.90846	0.17877	0.0	0.0	0.0	0.01111	0.01667	0.0	0.00833	0.67467	0.00781	0.0	0.90991	0.9706	0.0
chr21	45372146	45372189	0.13775	0.0	0.0	0.0	0.0	0.0	0.00706	0.0016	0.00192	0.09586	0.01389	0.0	0.04738	0.0	0.00439	0.0	0.01111	0.02521	0.00455	0.0	0.0	0.01149	0.0	0.01754	0.0	0.03559	0.69762	0.0	0.02208	0.0	0.0585
chr7	28859907	28860062	0.00645	0.0	0.0	0.0	0.0	0.0	0.0092	0.01942	0.00444	0.0027	0.18933	0.03217	0.0	0.0	0.0037	0.0	0.01587	0.13773	0.00233	0.02083	0.0	0.01149	0.9416	0.08175	0.01194	0.0	0.03457	0.0	0.0	0.03159	0.0
chr22	32615190	32615301	0.0	0.0	0.98333	0.0	0.0	0.0	0.06784	0.92341	0.00667	0.01111	0.0	0.0	0.0101	0.04	0.0568	0.0	0.03333	0.14444	0.01429	0.05	0.05357	0.0	0.02381	0.0	0.0	0.0	0.0	0.0	0.01587	0.0	0.0
