chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr3	25138691	25138721	0.09259	0.18716	0.03492	0.0	0.0	0.02899	0.02722	0.016	0.0298	0.00312	0.92424	1.0	0.00347	0.01335	0.02778	0.10729	0.98129	0.26299	0.14738	0.15262	0.16361	0.1961	0.27608	0.07966	0.01087	0.26616	0.0	1.0	1.0	0.95796	0.93804
chr20	6692630	6692690	0.0	0.10986	0.0841	0.01852	0.0	0.03333	0.02823	0.06181	0.1166	0.0201	0.0	0.0	0.97476	0.02024	0.01547	1.0	0.03439	0.89001	0.004	0.03009	0.09846	0.02222	0.01961	0.0	0.15479	0.0	0.0	0.0	0.01449	0.04898	0.0
chr2	190032732	190033003	0.00435	0.00444	0.0	0.01154	0.00472	0.0	0.03446	0.01394	0.00832	0.00192	0.0098	0.0	0.0	0.0	0.92902	0.0068	0.0	0.18924	0.00677	0.0	0.0	0.01429	0.0	0.0	0.00424	0.00417	0.0	0.0113	0.0	0.00538	0.00725
chr3	12543149	12543198	0.02711	0.01	0.0	0.0	0.0	0.0	0.05712	0.01129	0.0	0.0	0.06506	0.0	0.00278	0.12051	0.00388	0.0	0.0	0.1269	0.00286	0.0	0.96309	0.0	0.01449	0.01389	0.01923	0.0	0.0	0.0	0.0	0.0	0.06599
chr16	75469012	75469365	0.0	0.02333	0.00741	0.0	0.01902	0.00575	0.00523	0.00798	0.00209	0.01126	0.0	0.0	0.0	0.00256	0.00509	0.0	0.00529	0.04409	0.05315	0.82754	0.01321	0.00654	0.0	0.0	0.0	0.00694	0.02273	0.00595	0.0	0.00556	0.01617
chr4	8468527	8468703	0.00455	0.0	0.00758	0.01282	0.0	0.0068	0.01687	0.00439	0.0	0.0085	0.01389	0.0	0.20574	0.87644	0.0	0.03347	0.01527	0.22527	0.01449	0.0	0.10149	0.01961	0.03812	0.01042	0.02066	0.01697	0.05775	0.0	0.00794	0.02392	0.00641
chr17	71180105	71180284	0.08351	0.0	0.08733	0.02431	0.0	0.0	0.0334	0.033	0.008	0.92776	0.02736	0.0	0.22247	0.01665	0.00862	0.00813	0.01003	0.13646	0.00192	0.0	0.02043	0.0	0.0	0.0	0.00472	0.02419	0.93163	0.01424	0.0255	0.04449	0.00256
chr16	21658443	21658719	0.00878	0.89853	0.04302	0.95064	0.0	0.0	0.03037	0.07608	0.93124	0.01039	0.0	0.0	0.0	0.00909	0.01594	0.01222	0.01554	0.04652	0.01009	0.00981	0.0	0.0	0.0	0.0	0.0	0.00342	0.00325	0.00556	0.0185	0.04397	0.01419
chr12	4318621	4318657	0.0	0.01329	0.93252	0.01042	0.0	0.0	0.04857	0.04462	0.0027	0.0	0.0	0.00709	0.03801	0.0045	0.03945	0.00741	0.00476	0.08958	0.01082	0.03038	0.01173	0.0	0.01042	0.01389	0.01781	0.01316	0.0	0.01042	0.03405	0.01515	0.0072
chr16	58292241	58292423	0.0	0.01991	0.0	0.02431	0.95536	0.28827	0.0179	0.00312	0.05372	0.0	0.0	0.0	0.00397	0.00556	0.01596	0.0	0.04008	0.18219	0.00956	0.0	0.0	0.01333	0.01235	0.0	0.0	0.00581	0.00735	0.0	0.00952	0.04763	0.02093
chr22	30872591	30872654	0.00645	0.02106	0.0	0.13425	0.0	0.00877	0.06208	0.00937	0.02077	0.0	0.00595	0.0	0.00837	0.04643	0.0	0.08202	0.11077	0.03782	0.02452	0.00735	0.01852	0.76561	0.81697	0.27205	0.00926	0.0	0.0	0.01449	0.0	0.02831	0.00958
