chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr16	88474315	88474515	0.05348	0.93128	1.0	0.84047	0.00862	0.0	0.05533	0.96493	0.75878	0.02346	0.00855	0.0	0.00738	0.00764	0.05085	0.0378	0.08977	0.90879	0.02064	0.04167	0.05229	0.09148	0.0	0.00813	0.0	0.0	0.07816	0.0	0.07597	0.14463	0.03786
chr1	161207275	161207712	0.00299	0.004	0.0	0.0	0.0	0.0	0.00873	0.00724	0.01246	0.0205	0.00595	0.0037	0.00317	0.0	0.91505	0.0	0.0	0.1713	0.00351	0.0	0.00909	0.01857	0.0	0.00595	0.0	0.00287	0.00626	0.0	0.0	0.01282	0.01358
chr11	67808533	67808580	0.02164	0.16062	0.0	0.01852	0.01667	0.0	0.03351	0.01136	0.03285	0.04384	0.0	0.02222	0.15422	0.0	0.01767	0.0	0.08714	0.14358	0.0	0.0	0.93155	0.0	0.01587	0.03421	0.01389	0.0	0.07031	0.0	0.03896	0.115	0.0
chr2	74207463	74207560	0.03956	0.00833	0.00855	0.06333	0.01351	0.0	0.02448	0.01017	0.11877	0.97921	0.18498	0.05352	0.12409	0.05589	0.11635	0.09546	0.05664	0.06287	0.00312	0.00595	0.13675	0.06797	0.04779	0.06029	0.09012	0.10943	0.97975	0.06536	0.09222	0.08835	0.02473
chr1	202092456	202092541	0.0	0.0249	0.00926	0.02043	0.00735	0.0	0.0106	0.01735	0.02199	0.00496	0.0	0.0185	0.00752	0.0	0.00333	0.0	0.00476	0.12535	0.08641	0.96877	0.00439	0.00741	0.00813	0.0	0.0049	0.0	0.0051	0.0	0.01474	0.0	0.0
chr21	43271710	43271848	0.0	0.01693	0.00833	0.07222	0.0	0.0	0.00977	0.00463	0.04032	0.00417	0.0098	0.0	0.03463	0.86624	0.00641	0.01827	0.03483	0.08424	0.00892	0.0	0.02	0.0098	0.00952	0.0625	0.00962	0.0	0.0	0.0	0.0	0.03001	0.0197
chr1	224493991	224494126	0.02649	0.0	0.0	0.0	0.00625	0.0	0.00339	0.0021	0.00247	0.0	0.0	0.00694	0.00354	0.0	0.01099	0.762	0.05705	0.07887	0.00685	0.00417	0.01294	0.00741	0.0	0.0	0.00862	0.0041	0.0	0.87269	0.0	0.0	0.00242
chr15	42045333	42045534	0.03162	0.0	0.00565	0.0	0.05413	0.31894	0.02849	0.00351	0.0021	0.00808	0.0155	0.0	0.96358	0.00779	0.00469	0.251	0.18187	0.14473	0.05132	0.03073	0.03731	0.00775	0.01905	0.02068	0.05525	0.04566	0.0	0.0	0.02771	0.04076	0.03032
chr12	6531659	6531690	0.26397	0.0	0.0	0.02151	0.01998	0.05797	0.01479	0.00877	0.00986	0.02083	0.01111	0.0	0.00358	0.0	0.01019	0.06754	0.91737	0.10341	0.00417	0.0	0.0354	0.03151	0.02187	0.01515	0.0	0.20526	0.01429	0.0	0.98254	0.95317	0.0
chr15	74948115	74948200	0.0	0.20774	0.1084	0.0	0.0125	0.0101	0.00573	0.00953	0.00177	0.00213	0.86596	0.11852	0.0	0.0	0.0	0.0	0.07725	0.10278	0.08283	0.04795	0.00658	0.0	0.00667	0.0	0.0	0.0	0.0	0.0	0.0	0.01483	0.0034
