chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr6	7901414	7901524	0.0	0.02126	0.00926	0.0	0.0	0.0	0.0219	0.02019	0.00421	0.98776	0.0	0.00585	0.89108	0.0049	0.92222	0.0	0.00463	0.98851	0.01033	0.0	0.96426	0.01282	0.01075	0.01587	0.02298	0.01248	1.0	0.0	0.0	0.00694	0.00427
chr18	72764688	72764835	0.0381	0.0	0.0	0.00794	0.00532	0.0	0.00509	0.00805	0.00111	0.0	0.0	0.0	0.06446	0.94558	0.0	0.95849	0.03108	0.0968	0.03595	0.05528	0.01552	0.17718	0.01507	0.17597	0.0	0.0	0.00347	0.99371	0.0	0.0	0.01096
chr1	109646060	109646372	0.0129	0.0	0.00397	0.0	0.08393	0.00457	0.02669	0.0	0.0	0.00769	0.01944	0.00654	0.0	0.05276	0.00676	0.00337	0.00893	0.0501	0.12899	0.95881	0.00455	0.0	0.0	0.0	0.00641	0.00704	0.00911	0.00629	0.01737	0.00939	0.0198
chr1	172769019	172769212	0.0	0.0	0.90162	0.00758	0.0	0.01515	0.02645	0.05827	0.00262	0.01367	0.0	0.0	0.00218	0.0	0.02621	0.0	0.0	0.23242	0.00537	0.00625	0.01853	0.04545	0.01075	0.02491	0.01136	0.0	0.0	0.0	0.00654	0.0	0.0
chr13	31747546	31747650	0.0087	0.03865	0.0	0.01515	0.04812	0.1336	0.00829	0.00658	0.00993	0.01818	0.01905	0.0	0.01715	0.0	0.01623	0.00654	0.05461	0.17156	0.02036	0.0	0.02228	0.0101	0.01282	0.03002	0.00926	0.0	0.01163	0.0	0.87536	0.82767	0.0
chr17	45363665	45363730	0.01111	0.97824	0.01282	0.11526	0.01	0.0	0.038	0.07902	0.14118	0.0	0.0	0.0	0.01142	0.0	0.01509	0.03354	0.05905	0.14399	0.01325	0.00926	0.11601	0.02266	0.02946	0.06667	0.0125	0.0	0.00926	0.01515	0.01333	0.01587	0.04624
chr15	61228733	61228852	0.00606	0.03905	0.0	0.0268	0.0	0.0	0.0063	0.01514	0.00646	0.01476	0.0	0.0	0.01829	0.0	0.0	0.0	0.0	0.23107	0.01235	0.00833	0.00806	0.99145	0.97917	1.0	0.0	0.0	0.0232	0.0	0.0	0.00901	0.0
chr16	74467017	74467110	0.00392	0.01952	0.05524	0.04485	0.02013	0.0	0.0768	0.01726	0.02648	0.08253	0.95556	0.99275	0.07295	0.0	0.01606	0.02326	0.03584	0.20007	0.07766	0.0739	0.03855	0.06673	0.0098	0.02513	0.0	0.00862	0.09037	0.14288	0.03604	0.14153	0.04189
chr14	69736595	69736740	0.0	0.00833	0.01389	0.0	0.7893	0.05309	0.01409	0.00284	0.01804	0.00794	0.03333	0.01111	0.00876	0.0	0.0037	0.01515	0.02626	0.1387	0.07531	0.0	0.02053	0.0	0.0	0.04318	0.0	0.0	0.0	0.0	0.0101	0.0202	0.0
chr17	28704885	28704929	0.04412	0.0	0.0	0.0	0.0	0.0	0.01356	0.00472	0.00256	0.0	0.15507	0.09121	0.0	0.0	0.0045	0.16945	0.8265	0.13437	0.00572	0.0	0.0	0.0119	0.0	0.0	0.0	0.17642	0.0	0.00901	0.00694	0.03571	0.10403
