chr	start	end	adipocytes	aorta_endothel	bladder_epithelial	blood_b	blood_granulocytes	blood_monocytes	blood_nk	blood_t_cd4	blood_t_cd8	breast_basal_epithelial	breast_luminal_epithelial	colon_endocrine	colon_epithelial	endometrium_epithelial	fallopian_epithelial	fibroblast	gastric_epithelial	heart_cardiomyocyte	kidney_glomerular_endothel	kidney_glomerular_podocytes	kidney_tubular_endothel	kidney_tubular_epithelial	liver_hepatocytes	lung_alveolar_endothel	lung_alveolar_epithelial	lung_bronchus_epithelial	macrophage	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	pancreas_endothel	prostate_epithelial	saphenous_vein_endothel	skeletal_muscle	small_int_epithelial	smooth_muscle	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial
chr4	3304369	3305082	0.02343043626121364	0.008946078431372548	0.00909128143075135	0.007835412129348083	0.0	0.0	0.008417937871268445	0.02172568693452487	0.00822525828191333	0.006912967209979988	0.0045327357768368435	0.010531253017828575	0.009033258179641096	0.017086054209917868	0.005679572539650984	0.1689438172004148	0.04312362692868865	0.009805469327342638	0.006605256963594303	0.006688781631839562	0.015466271692036859	0.0002852029005373301	0.025982281262788103	0.02642907129549146	0.006021511366065227	0.008523712121773419	0.06880703875292461	0.017651425215890023	0.01022932873826474	0.005264324342457817	0.006970822235018609	0.013352229964964699	0.0	0.00506886581495733	0.004811252243246881	0.0075086608605609995	0.015791748835014236	0.029476511000685494	0.011528822055137847	0.010872549490320774	0.013003956957353822	0.008877329177457134	0.006903436384960851	0.009775756408891063
chr19	45418945	45419022	0.06739452700678832	0.018518518518518517	0.02857142857142857	0.0	0.0	0.039283710065919304	0.0	0.018975834751777033	0.07462573282722255	0.048112522432468816	0.0024912921114895875	0.04876598490941707	0.030069226653097105	0.0	0.04646583028575524	0.01751183330112422	0.021770598967913994	0.02345166898140744	0.03430858372594381	0.02142747821777417	0.01473139127471974	0.015246179444513992	0.07329287567700081	0.0	0.0038515726390029605	0.03420485333991505	0.04411950303832558	0.02177357500834534	0.05571292166727862	0.03189062298418654	0.0	0.0	0.0	0.039283710065919304	0.025006840035960952	0.020495848730044855	0.033657855541751644	0.030413194889743977	0.04220779220779221	0.01681531157736536	0.034061149657726934	0.026158567170640672	0.054090119051919565	0.05375228029367163
chr16	11970312	11970370	0.0	0.0	0.012903225806451615	0.010810810810810811	0.0	0.0	0.0	0.01861394797781798	0.0	0.0	0.0	0.037396434076127694	0.016666666666666666	0.014284985478516112	0.01571348402636772	0.14091935585590049	0.07773927086913901	0.04017987442894177	0.0	0.0	0.0	0.015737714548125878	0.05957881056787125	0.041962616782417056	0.012710807442894417	0.009243225897863366	0.010021785269184057	0.025964461548729646	0.013043478260869563	0.0	0.12228689439318768	0.0	0.04099169746008971	0.04970532826689367	0.0	0.030413194889743977	0.01509231654363931	0.0	0.0	0.0	0.03126883836769649	0.01720555891219272	0.012090324802242834	0.03153957976002915
chr1	39391925	39392002	0.034020690871988585	0.027777777777777776	0.038838495337528804	0.06708754208754208	0.020495848730044855	0.0	0.020495848730044855	0.02303511469211103	0.048498321540221746	0.0	0.0	0.02063094657962857	0.020529932329340347	0.039283710065919304	0.0	0.07329047028990338	0.03641146353468742	0.0683472062098621	0.0	0.02922053179150069	0.0277296776935901	0.016255328303139024	0.013254640333513583	0.018114688287191625	0.030413194889743977	0.009065471553673687	0.015555400544862577	0.030704611484828784	0.06557627372853761	0.05105738851025974	0.0685233629409911	0.028569970957032224	0.020977184885494937	0.053434806514530454	0.022069771859536128	0.0	0.015092316543639312	0.015206597444871989	0.03636363636363636	0.0	0.10643483045037351	0.0	0.0	0.018856180831641266
chr1	41079758	41079864	0.017141982574219332	0.0	0.011428571428571429	0.021004691260612916	0.0	0.0	0.0	0.007894736842105263	0.0	0.0	0.0	0.020944111040410954	0.0	0.0	0.0	0.05766999262564002	0.05120390311419459	0.07431475254456124	0.0	0.016255328303139024	0.0	0.009820927516479826	0.0	0.016255328303139027	0.0	0.0	0.010965274798066266	0.023534206245395865	0.12363962460504822	0.016654334688162284	0.03765327842541037	0.0	0.0	0.0130670602497406	0.0	0.0	0.012245853616473177	0.0	0.0125	0.018826639212705176	0.038614718614718616	0.0	0.010475656017578482	0.010962895832349573
chr1	57046407	57046901	0.004910463758239913	0.005555555555555556	0.023076923076923078	0.0	0.0	0.011223917161691228	0.016401563957571075	0.03272896540500907	0.031083094653562723	0.0	0.0	0.0	0.0	0.0	0.005418442767713008	0.01896894848116034	0.011204338381950802	0.03424095738502482	0.009873022535605683	0.01310128117868237	0.010339511946942158	0.008198822067051175	0.009262041815260962	0.0	0.014500300861164774	0.0	0.009578953284507079	0.046755387835163996	0.04776686522119933	0.0	0.012890059471527514	0.005123962182511214	0.01611321560185647	0.008270254750719854	0.00809126063003572	0.01571348402636772	0.004123930494211613	0.008258056816887167	0.020714285714285713	0.003765327842541038	0.004700920629450521	0.02652269190447711	0.007727942963787406	0.0048598404205261
chr4	65911910	65911923	0.042922335423415586	0.014705882352941176	0.09108808464725461	0.014285714285714285	0.012400387106968584	0.03288868749704872	0.01626787703881791	0.008333333333333333	0.013886428078807814	0.014360340318928511	0.0	0.013094570021973102	0.013793103448275862	0.0	0.035355339059327376	0.07998337673568784	0.018149107009275762	0.0	0.06046483704820146	0.020495848730044855	0.07688208741131036	0.02142747821777417	0.05176761696161014	0.011785113019775794	0.011223917161691228	0.01642303019665098	0.010034681993445769	0.06556496545899845	0.029223604918166456	0.013038091656263632	0.046394218059880636	0.0	0.0	0.0	0.01312159702703695	0.03888601917786488	0.12706421025487846	0.03596813606509315	0.015591397849462365	0.01396815167394256	0.15064329456217307	0.0	0.028642140776781462	0.018274231369599908
chr8	17767561	17767753	0.011807949521199875	0.013157894736842105	0.01702127659574468	0.016666666666666666	0.032221001909650326	0.010962895832349573	0.0	0.013333333333333334	0.021963159891075116	0.019743891330129607	0.07572668866098013	0.011462407530638642	0.018087578440110785	0.12694623001523428	0.0	0.11033496462550486	0.0	0.008469954460226477	0.01571348402636772	0.018995821641302944	0.0	0.018130943107347374	0.049631121456895376	0.09508889371622518	0.0	0.0	0.08459346313543047	0.02438314147702798	0.1589295722028628	0.10601269274574315	0.0	0.007727942963787406	0.0	0.0	0.0	0.04552379515276588	0.010725250194542651	0.04758918002143923	0.05923344947735191	0.08149455649221694	0.02060939683192235	0.0	0.021427478217774167	0.013468700594029479
chr18	72670023	72670206	0.0	0.0	0.0	0.0	0.0	0.007603298722435994	0.0	0.0	0.0	0.06833974232687656	0.056759575653005497	0.0	0.0	0.0	0.0	0.007928930880612646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012814568048513084	0.0032667182731967634	0.004322595732849532	0.011051404221731695	0.02124598941641378	0.020771757737933282	0.0	0.0	0.0	0.0	0.016835875742536845	0.0	0.0	0.00787295821622217	0.0	0.0	0.010309826235529031	0.01818181818181818	0.05717603977028292	0.0	0.0
chr20	39347705	39347798	0.019464878918109666	0.007692307692307693	0.0	0.0	0.0	0.0	0.010247924365022427	0.011999999999999999	0.018147641176785	0.012028130608117204	0.0	0.009428090415820633	0.015726223639440862	0.11409908113977835	0.050865683940644765	0.03308869706642528	0.01799513205040439	0.0	0.016835875742536845	0.019569568263393577	0.014284985478516112	0.029491803297004623	0.00781512705557025	0.008570991287109666	0.005892556509887897	0.0	0.011745498568139997	0.037056523616381794	0.025408447765250784	0.05579849444743141	0.0232776016652881	0.011001431049370314	0.03275984842761238	0.0	0.04305091667678154	0.01875099767437367	0.0	0.0	0.07776292335115866	0.02165063509461097	0.02664528850517846	0.0	0.006734350297014739	0.0
