chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr22	45692725	45692850	0.11524	0.98333	0.99048	1.0	0.03059	0.10898	0.12482	0.97468	0.99646	0.02381	0.01075	0.0	0.01287	0.12144	0.11833	0.03872	0.12262	0.96065	0.0163	0.01667	0.12753	0.0	0.01587	0.0	0.0	0.08042	0.0	0.01515	0.06032	0.0462	0.02961
chr5	23090286	23090382	0.0	0.01111	0.0202	0.0	0.0	0.0	0.02043	0.02229	0.00769	0.00417	0.0	0.0	0.0	0.0	0.95213	0.0	0.0	0.20654	0.0	0.0	0.02316	0.0327	0.0	0.0	0.0	0.00714	0.0	0.0	0.0	0.0	0.0
chr14	20920938	20921119	0.0	0.0069	0.00794	0.0	0.01042	0.02599	0.01517	0.00265	0.00314	0.00608	0.02217	0.0246	0.01716	0.00355	0.00862	0.01429	0.02265	0.05102	0.0499	0.70128	0.00713	0.02116	0.00877	0.00667	0.0	0.00581	0.01365	0.0	0.01261	0.00575	0.0
chr1	211507726	211507828	0.0	0.01	0.0	0.0	0.0	0.0	0.00448	0.00399	0.0	0.95115	0.0	0.0	0.13638	0.0	0.0	0.0	0.0	0.20972	0.0	0.0	0.93401	0.0	0.0	0.0	0.02592	0.00694	0.95832	0.0	0.00952	0.0	0.0034
chr17	80746351	80746518	0.01255	0.02126	0.0	0.1216	0.13895	0.00833	0.04438	0.01046	0.03188	0.00884	0.0	0.0	0.03418	0.88412	0.01173	0.16133	0.00575	0.08144	0.074	0.04537	0.04925	0.01331	0.00833	0.01449	0.03524	0.16322	0.00455	0.15211	0.0	0.0391	0.02422
chr2	231560150	231560496	0.08555	0.00476	0.0	0.0	0.01235	0.0	0.01031	0.0018	0.00104	0.0116	0.00926	0.01042	0.00404	0.0	0.00483	0.11525	0.01901	0.26716	0.0	0.0	0.02812	0.03066	0.0226	0.00813	0.0	0.0119	0.02001	0.81026	0.0155	0.10227	0.01037
chr5	109251752	109251991	0.02673	0.01234	0.0	0.00741	0.0	0.02557	0.0206	0.01097	0.00608	0.0392	0.0	0.0155	0.76391	0.0	0.0	0.00595	0.01141	0.26768	0.0	0.00758	0.0082	0.0	0.0	0.0	0.01042	0.0177	0.02799	0.0	0.00654	0.00758	0.0
chr20	55426311	55426417	0.06333	0.03636	0.0	0.05556	0.02778	0.0	0.05451	0.01179	0.05064	0.0175	0.06205	0.01961	0.03363	0.00926	0.01961	0.03233	0.21122	0.29586	0.0	0.01042	0.02273	0.01961	0.08041	0.02222	0.0	0.0119	0.02048	0.04233	1.0	0.95998	0.01282
chr7	50910557	50910607	0.03077	0.0	0.01111	0.01075	0.0	0.01111	0.04108	0.0085	0.01154	0.0027	0.88519	0.01754	0.1609	0.0	0.02297	0.02952	0.03914	0.2269	0.006	0.0	0.0	0.12866	0.03611	0.04926	0.0	0.02329	0.00735	0.05128	0.01418	0.0	0.05795
chr2	121937216	121937399	0.02732	0.08188	0.00794	0.05714	0.00714	0.03036	0.06686	0.01259	0.09529	0.00526	0.0587	0.0	0.01222	0.03333	0.03067	0.88542	0.03902	0.16017	0.02741	0.0	0.00373	0.01449	0.00901	0.03072	0.00658	0.0	0.00994	0.0	0.04598	0.03826	0.0
chr16	73185543	73185591	0.10433	0.01053	0.0	0.0098	0.0	0.0	0.01612	0.01146	0.01048	0.00463	0.0	0.8716	0.01595	0.0	0.0	0.0	0.01389	0.24314	0.0	0.0	0.01316	0.01042	0.0	0.0	0.0	0.0119	0.0	0.0	0.06095	0.08444	0.10601
