chr	start	end	bladder_epithelial	blood_b	blood_granulocytes	blood_nk	breast_basal_epithelial	breast_luminal_epithelial	cluster1	cluster2	cluster3	cluster4	endometrium_epithelial	fallopian_epithelial	gastric_epithelial	heart_cardiomyocyte	liver_hepatocytes	lung_alveolar_epithelial	lung_bronchus_epithelial	myeloid	neural	oligodendrocytes	pancreas_acinar	pancreas_alpha	pancreas_beta	pancreas_delta	pancreas_duct	prostate_epithelial	small_int_epithelial	thyroid_epithelial	tongue_epithelial	tonsil_palatine_epithelial	cluster5
chr11	124638769	124639124	0.00809	0.0	0.00641	0.0	0.02233	0.01784	0.03398	0.00939	0.00394	0.99355	0.87293	0.04308	0.9836	0.02199	0.02281	0.92752	0.23353	0.16529	0.00697	0.01533	0.90739	0.02646	0.05568	0.12492	0.12654	0.04363	1.0	0.0	0.02661	0.024	0.87536
chr16	4876684	4876730	0.0	0.0	0.0	0.0	0.0	0.01111	0.0067	0.0	0.00167	0.0	0.0	0.00794	0.00317	0.93107	0.01199	0.0	0.014	1.0	0.07131	0.80901	0.00758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	186710309	186710551	0.0	0.03766	0.00813	0.0	0.0	0.0	0.00899	0.00991	0.00086	0.01012	0.01075	0.0	0.00144	0.0	0.87702	0.00366	0.0	0.09044	0.0	0.0	0.01362	0.00498	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.00546	0.0055
chr3	142829347	142829481	0.0125	0.0	0.0	0.01389	0.01562	0.02778	0.01588	0.0	0.01388	0.0	0.0	0.0	0.02093	0.01709	0.00556	0.01587	0.0	0.0462	0.11499	0.0	0.08048	0.0	0.0	0.06019	0.0	0.01923	0.02982	0.98413	0.0	0.00833	0.0
chr19	39333170	39333349	0.00435	0.97677	0.0	0.93784	0.01306	0.0	0.0181	0.0457	0.98208	0.00794	0.0	0.0	0.0234	0.00939	0.05567	0.0	0.02342	0.0	0.10858	0.00891	0.0041	0.00694	0.0	0.01587	0.0	0.00455	0.00556	0.0229	0.00595	0.02282	0.00595
chr5	179187814	179187889	0.0087	0.03464	1.0	0.04545	0.0	0.0	0.02647	0.93333	0.0	0.0	0.0	0.0	0.0	0.0	0.00833	0.0	0.0	0.04536	0.0	0.01389	0.0	0.0	0.0	0.01961	0.0	0.0	0.0	0.0	0.0	0.0	0.00833
chr20	31363783	31363992	0.00976	0.0418	0.0	0.08158	0.0	0.0	0.00757	0.00925	0.01051	0.00287	0.0	0.0	0.01015	0.01716	0.00183	0.00529	0.21121	0.19538	0.00911	0.0	0.00879	0.0	0.0	0.01042	0.0	0.03786	0.00481	0.0	0.94595	0.85924	0.04791
chr6	156969904	156969947	0.0	0.0	0.01754	0.0	0.0	0.0	0.02452	0.01118	0.0134	0.00385	0.02941	0.95796	0.01493	0.03333	0.00407	0.0	0.0	0.3463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0231	0.00855	0.01235	0.1466
chr20	56094251	56094305	0.07341	0.0	0.02627	0.02431	0.81599	0.03574	0.02109	0.01189	0.0134	0.00426	0.01667	0.00725	0.01943	0.0	0.0	0.04156	0.02008	0.22555	0.01909	0.0	0.0275	0.0	0.0101	0.0	0.0	0.00893	0.0	0.0	0.02759	0.12384	0.05495
chr10	543452	543540	0.01821	0.0	0.00901	0.00926	0.00676	0.0	0.00343	0.00438	0.00759	0.00429	0.01149	0.0	0.00549	0.009	0.0	0.0	0.0	0.24843	0.01338	0.00658	0.02146	0.90022	0.9195	0.22941	0.00735	0.02034	0.0	0.0	0.0	0.00654	0.00556
chr2	175218483	175218640	0.02715	0.0	0.0	0.00877	0.0119	0.0	0.00364	0.00294	0.00161	0.0	0.07106	0.0	0.00441	0.0	0.0	0.42493	0.92116	0.0348	0.00556	0.00962	0.0	0.0287	0.14861	0.29589	0.0	0.09148	0.00893	0.0	0.45136	0.34615	0.0045
chr12	12736283	12736330	0.8895	0.25778	0.19815	0.06226	0.03506	0.09444	0.02188	0.02609	0.1306	0.0	0.0	0.01111	0.0	0.00725	0.01452	0.15362	0.0	0.40622	0.0	0.0	0.02917	0.0	0.0	0.0	0.0125	0.09091	0.01136	0.11995	0.0202	0.13535	0.03905
chr2	179088667	179088779	0.09524	0.02222	0.02564	0.0	0.0	0.0	0.09065	0.00985	0.0319	0.0	0.0	0.0	0.00617	0.03333	0.0	0.0	0.0	0.08631	0.01	0.05655	0.2094	0.06699	0.0	0.0	0.78261	0.0	0.0	0.0	0.0	0.0303	0.09048
chr7	129945291	129945514	0.00444	0.0	0.0	0.0	0.00676	0.0	0.10383	0.00125	0.0025	0.02825	0.0	0.0	0.04358	0.0	0.01027	0.00529	0.0	0.08739	0.02834	0.04437	0.025	0.44496	0.19863	0.9474	0.01301	0.01351	0.07219	0.0	0.00709	0.0	0.15473
chr11	961921	961979	0.0	0.02143	0.12708	0.11549	0.0	0.0	0.0135	0.11162	0.1055	0.0	0.0	0.0	0.00786	0.0	0.0	0.0119	0.0	0.23307	0.66353	0.0235	0.04167	0.02904	0.01667	0.21465	0.0	0.01562	0.02174	0.01449	0.0	0.0	0.00417
